code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,L-Asparagine monohydrate,A0725.0100,21.0,100 g,1,21.0,Duchefa Biochemie,DUCHEFA,2010-2012,84
,L-Asparagine monohydrate,A0725.1000,156.9,1 kg,1,156.9,Duchefa Biochemie,DUCHEFA,2010-2012,84
,Adenine hemisulphate dihydrate,A0908.0005,11.2,5 g,1,11.2,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Adenine hemisulphate dihydrate,A0908.0025,35.9,25 g,1,35.9,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Adenine hemisulphate dihydrate,A0908.0100,108.1,100 g,1,108.1,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Adenine hemisulphate dihydrate,A0908.0250,239.9,250 g,1,239.9,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Adenine hemisulphate dihydrate,A0908.0500,434.4,500 g,1,434.4,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Absisic acid (S-ABA),A0941.0100,30.1,100 mg,1,30.1,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Absisic acid (S-ABA),A0941.0250,67.7,250 mg,1,67.7,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Absisic acid (S-ABA),A0941.1000,233.3,1 g,1,233.3,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Agarose SPI,A1203.0100,52.4,100 g,1,52.4,Duchefa Biochemie,DUCHEFA,2010-2012,80
,Agarose SPI,A1203.0500,237.2,500 g,1,237.2,Duchefa Biochemie,DUCHEFA,2010-2012,80
,Agarose SPI,A1203.1000,433.5,1 kg,1,433.5,Duchefa Biochemie,DUCHEFA,2010-2012,80
,Adenosine,A1334.0005,9.0,5 g,1,9.0,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Adenosine,A1334.0025,31.4,25 g,1,31.4,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Adenosine-5-triphosphate,A1335.0001,7.1,1 g,1,7.1,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Adenosine-5-triphosphate,A1335.0005,12.9,5 g,1,12.9,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Adenosine-5-triphosphate,A1335.0010,22.3,10 g,1,22.3,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Ammonium dihydrogen phosphate,A1338.1000,23.5,1 kg,1,23.5,Duchefa Biochemie,DUCHEFA,2010-2012,81
,Acetylsalicylic acid,A1366.0100,4.2,100 g,1,4.2,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Acetylsalicylic acid,A1366.0250,9.4,250 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,78
,Bacitracin,B0106.0005,30.2,5 g,1,30.2,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Bacitracin,B0106.0025,104.2,25 g,1,104.2,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Bleomycin sulphate,B0107.0015,243.5,15 mg,1,243.5,Duchefa Biochemie,DUCHEFA,2010-2012,87
,Bromoxynil,B0157.0250,75.0,250 mg,1,75.0,Duchefa Biochemie,DUCHEFA,2010-2012,89
,Boric acid,B0503.1000,15.1,1 kg,1,15.1,Duchefa Biochemie,DUCHEFA,2010-2012,87
,Boric acid,B0503.5000,48.1,5 kg,1,48.1,Duchefa Biochemie,DUCHEFA,2010-2012,87
,D(+)-Biotine,B0603.0500,19.2,500 mg,1,19.2,Duchefa Biochemie,DUCHEFA,2010-2012,86
,D(+)-Biotine,B0603.1000,28.2,1 g,1,28.2,Duchefa Biochemie,DUCHEFA,2010-2012,86
,Benzylaminopurine (6-BAP),B0904.0001,8.2,1 g,1,8.2,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Benzylaminopurine (6-BAP),B0904.0005,26.4,5 g,1,26.4,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Benzylaminopurine (6-BAP),B0904.0025,102.1,25 g,1,102.1,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Benzylaminopurine riboside,B0930.0250,36.6,250 mg,1,36.6,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Benzylaminopurine riboside,B0930.1000,129.2,1 g,1,129.2,Duchefa Biochemie,DUCHEFA,2010-2012,85
,N-Benzyl-9-(tetrahydropyranyl)-adenine (BPA),B0932.0100,59.4,100 mg,1,59.4,Duchefa Biochemie,DUCHEFA,2010-2012,86
,N-Benzyl-9-(tetrahydropyranyl)-adenine (BPA),B0932.0500,251.6,500 mg,1,251.6,Duchefa Biochemie,DUCHEFA,2010-2012,86
,Banana powder,B1304.0500,49.7,500 g,1,49.7,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Banana powder,B1304.1000,86.9,1 kg,1,86.9,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Banana powder,B1304.5000,397.0,5 kg,1,397.0,Duchefa Biochemie,DUCHEFA,2010-2012,85
,Blue-Gal,B1414.0100,19.5,100 mg,1,19.5,Duchefa Biochemie,DUCHEFA,2010-2012,89
,BES,B1514.0025,15.2,25 g,1,15.2,Duchefa Biochemie,DUCHEFA,2010-2012,86
,BES,B1514.0250,130.8,250 g,1,130.8,Duchefa Biochemie,DUCHEFA,2010-2012,86
,BES,B1514.1000,475.7,1 kg,1,475.7,Duchefa Biochemie,DUCHEFA,2010-2012,86
,Bis-Tris buffer grade,B1516.0100,39.0,100 g,1,39.0,Duchefa Biochemie,DUCHEFA,2010-2012,86
,Bis-Tris buffer grade,B1516.0500,156.0,500 g,1,156.0,Duchefa Biochemie,DUCHEFA,2010-2012,86
,"Peptone water, buffered",B1702.0100,9.3,100 g,1,9.3,Duchefa Biochemie,DUCHEFA,2010-2012,122
,"Peptone water, buffered",B1702.0500,36.6,500 g,1,36.6,Duchefa Biochemie,DUCHEFA,2010-2012,122
,Carbenicillin disodium,C0109.0005,45.7,5 g,1,45.7,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Carbenicillin disodium,C0109.0025,182.3,25 g,1,182.3,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Cephalexin monohydrate,C0110.0005,31.5,5 g,1,31.5,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Cephalexin monohydrate,C0110.0010,57.6,10 g,1,57.6,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Cefotaxime sodium,C0111.0001,23.9,1 g,1,23.9,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Cefotaxime sodium,C0111.0005,73.8,5 g,1,73.8,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Cefotaxime sodium,C0111.0025,335.1,25 g,1,335.1,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Chloramphenicol,C0113.0025,19.3,25 g,1,19.3,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Chloramphenicol,C0113.0100,47.7,100 g,1,47.7,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Chlorhexidine digluconate,C0114.0250,28.5,250 ml,1,28.5,Duchefa Biochemie,DUCHEFA,2010-2012,94
,Chlorhexidine HCl,C0115.0010,20.4,10 g,1,20.4,Duchefa Biochemie,DUCHEFA,2010-2012,94
,Chlorhexidine HCl,C0115.0025,43.6,25 g,1,43.6,Duchefa Biochemie,DUCHEFA,2010-2012,94
,Chlortetracycline HCl,C0116.0025,22.8,25 g,1,22.8,Duchefa Biochemie,DUCHEFA,2010-2012,95
,Chlortetracycline HCl,C0116.0100,60.6,100 g,1,60.6,Duchefa Biochemie,DUCHEFA,2010-2012,95
,Clindamycin HCl,C0117.0001,46.6,1 g,1,46.6,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Colistin sulphate,C0118.0001,20.4,1 g,1,20.4,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Colistin sulphate,C0118.0005,81.4,5 g,1,81.4,Duchefa Biochemie,DUCHEFA,2010-2012,96
,D-Cycloserine,C0119.0005,34.4,5 g,1,34.4,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Carboxin,C0160.0250,86.0,250 mg,1,86.0,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Cycloheximide,C0176.0001,24.5,1 g,1,24.5,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Cycloheximide,C0176.0005,103.0,5 g,1,103.0,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Cycloheximide,C0176.0025,486.9,25 g,1,486.9,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Chlorsulfuron,C0177.0100,159.2,100 mg,1,159.2,Duchefa Biochemie,DUCHEFA,2010-2012,95
,Calcium chloride dihydrate,C0504.1000,14.0,1 kg,1,14.0,Duchefa Biochemie,DUCHEFA,2010-2012,89
,Calcium chloride dihydrate,C0504.5000,50.6,5 kg,1,50.6,Duchefa Biochemie,DUCHEFA,2010-2012,89
,Calcium nitrate tetrahydrate,C0505.1000,17.1,1 kg,1,17.1,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Calcium nitrate tetrahydrate,C0505.5000,59.0,5 kg,1,59.0,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Calcium phosphate tribasic,C0506.1000,16.0,1 kg,1,16.0,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Cobalt chloride hexahydrate,C0507.0025,15.9,25 g,1,15.9,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Cobalt chloride hexahydrate,C0507.0100,51.9,100 g,1,51.9,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Cupric sulphate pentahydrate,C0508.0250,11.7,250 g,1,11.7,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Cupric sulphate pentahydrate,C0508.0500,22.1,500 g,1,22.1,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Calcium carbonate,C0529.1000,11.1,1 kg,1,11.1,Duchefa Biochemie,DUCHEFA,2010-2012,89
,Calcium citrate tetrahydrate,C0530.1000,20.4,1 kg,1,20.4,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Calcium gluconate monohydrate,C0531.0250,10.0,250 g,1,10.0,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Calcium gluconate monohydrate,C0531.1000,29.4,1 kg,1,29.4,Duchefa Biochemie,DUCHEFA,2010-2012,90
,D(+) Pantothenate calcium,C0604.0100,15.9,100 g,1,15.9,Duchefa Biochemie,DUCHEFA,2010-2012,121
,D(+) Pantothenate calcium,C0604.0500,60.6,500 g,1,60.6,Duchefa Biochemie,DUCHEFA,2010-2012,121
,Choline chloride,C0605.0100,11.2,100 g,1,11.2,Duchefa Biochemie,DUCHEFA,2010-2012,95
,L-Cysteine HCl monohydrate,C0706.0025,8.4,25 g,1,8.4,Duchefa Biochemie,DUCHEFA,2010-2012,97
,L-Cysteine HCl monohydrate,C0706.0100,22.3,100 g,1,22.3,Duchefa Biochemie,DUCHEFA,2010-2012,97
,L-Cysteine HCl monohydrate,C0706.0500,94.0,500 g,1,94.0,Duchefa Biochemie,DUCHEFA,2010-2012,97
,L-Cysteine HCl monohydrate,C0706.1000,153.2,1 kg,1,153.2,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Cyanocobalamin,C0726.0100,8.9,100 mg,1,8.9,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Cyanocobalamin,C0726.1000,42.0,1 g,1,42.0,Duchefa Biochemie,DUCHEFA,2010-2012,97
,p-Chlorophenoxyacetic acid (4-CPA),C0909.0025,5.4,25 g,1,5.4,Duchefa Biochemie,DUCHEFA,2010-2012,95
,p-Chlorophenoxyacetic acid (4-CPA),C0909.0100,13.5,100 g,1,13.5,Duchefa Biochemie,DUCHEFA,2010-2012,95
,CPPU,C0943.0250,42.4,250 mg,1,42.4,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Carrageenan Iota Type,C1006.0100,20.4,100 g,1,20.4,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Casein hydrolysate,C1301.0250,21.4,250 g,1,21.4,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Casein hydrolysate,C1301.0500,36.9,500 g,1,36.9,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Casein hydrolysate,C1301.1000,64.5,1 kg,1,64.5,Duchefa Biochemie,DUCHEFA,2010-2012,91
,Charcoal activated,C1302.1000,47.3,1 kg,1,47.3,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Charcoal activated,C1302.5000,230.3,5 kg,1,230.3,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Citric acid monohydrate,C1303.1000,19.8,1 kg,1,19.8,Duchefa Biochemie,DUCHEFA,2010-2012,95
,Colchicine,C1305.0001,27.2,1 g,1,27.2,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Colchicine,C1305.0005,116.7,5 g,1,116.7,Duchefa Biochemie,DUCHEFA,2010-2012,96
,Colchicine,C1305.0025,500.6,25 g,1,500.6,Duchefa Biochemie,DUCHEFA,2010-2012,96
,CHAPS,C1374.0001,14.5,1 g,1,14.5,Duchefa Biochemie,DUCHEFA,2010-2012,93
,CHAPS,C1374.0005,45.5,5 g,1,45.5,Duchefa Biochemie,DUCHEFA,2010-2012,93
,CHAPS,C1374.0025,202.1,25 g,1,202.1,Duchefa Biochemie,DUCHEFA,2010-2012,93
,CHAPS,C1374.0100,636.3,100 g,1,636.3,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimonium,C1393.0050,12.3,50 g,1,12.3,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimonium,C1393.0100,17.4,100 g,1,17.4,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimonium,C1393.0500,79.2,500 g,1,79.2,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimonium,C1393.1000,153.4,1 kg,1,153.4,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimide,C1397.0050,8.3,50 g,1,8.3,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimide,C1397.0100,11.7,100 g,1,11.7,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimide,C1397.0500,53.5,500 g,1,53.5,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cetrimide,C1397.1000,103.6,1 kg,1,103.6,Duchefa Biochemie,DUCHEFA,2010-2012,93
,Cellulase R-10,C8001.0001,11.6,1 g,1,11.6,Duchefa Biochemie,DUCHEFA,2010-2012,92
,Cellulase R-10,C8001.0005,45.5,5 g,1,45.5,Duchefa Biochemie,DUCHEFA,2010-2012,92
,Cellulase R-10,C8001.0010,74.9,10 g,1,74.9,Duchefa Biochemie,DUCHEFA,2010-2012,92
,Cellulase RS,C8003.0001,40.0,1 g,1,40.0,Duchefa Biochemie,DUCHEFA,2010-2012,92
,Cellulase RS,C8003.0005,166.7,5 g,1,166.7,Duchefa Biochemie,DUCHEFA,2010-2012,92
,Cellulase RS,C8003.0010,277.8,10 g,1,277.8,Duchefa Biochemie,DUCHEFA,2010-2012,92
,Doxorubicin HCl 0.2% in 0.9% NaCl solution (5ml),D0120.0010,86.1,5 ml,1,86.1,Duchefa Biochemie,DUCHEFA,2010-2012,100
,Doxycycline HCl,D0121.0010,41.2,10 g,1,41.2,Duchefa Biochemie,DUCHEFA,2010-2012,100
,Doxycycline HCl,D0121.0025,98.0,25 g,1,98.0,Duchefa Biochemie,DUCHEFA,2010-2012,100
,Chloroxylenol (“Dettol”),D0161.1000,20.3,1 litre,1,20.3,Duchefa Biochemie,DUCHEFA,2010-2012,95
,C0113 Chloramphenicol 56-75-7 92,D0906.0001,45.7,1 g,1,45.7,Duchefa Biochemie,DUCHEFA,2010-2012,98
,C0113 Chloramphenicol 56-75-7 92,D0906.0005,194.5,5 g,1,194.5,Duchefa Biochemie,DUCHEFA,2010-2012,98
,C0113 Chloramphenicol 56-75-7 92,D0906.0010,366.6,10 g,1,366.6,Duchefa Biochemie,DUCHEFA,2010-2012,98
,",4-Dichlorophenoxyacetic acid (2,4 D)",D0911.0100,7.6,100 g,1,7.6,Duchefa Biochemie,DUCHEFA,2010-2012,98
,",4-Dichlorophenoxyacetic acid (2,4 D)",D0911.0250,12.6,250 g,1,12.6,Duchefa Biochemie,DUCHEFA,2010-2012,98
,Dicamba,D0920.0250,70.3,250 mg,1,70.3,Duchefa Biochemie,DUCHEFA,2010-2012,98
,Dihydrozeatin (DHZ),D0933.0025,96.0,25 mg,1,96.0,Duchefa Biochemie,DUCHEFA,2010-2012,98
,Dihydrozeatin (DHZ),D0933.0050,152.5,50 mg,1,152.5,Duchefa Biochemie,DUCHEFA,2010-2012,98
,Dihydrozeatin (DHZ),D0933.0100,254.4,100 mg,1,254.4,Duchefa Biochemie,DUCHEFA,2010-2012,98
,Dihydrozeatin (DHZ),D0933.0250,578.2,250 mg,1,578.2,Duchefa Biochemie,DUCHEFA,2010-2012,98
,iP riboside,D0934.0100,37.9,100 mg,1,37.9,Duchefa Biochemie,DUCHEFA,2010-2012,99
,iP riboside,D0934.0250,86.5,250 mg,1,86.5,Duchefa Biochemie,DUCHEFA,2010-2012,99
,iP riboside,D0934.1000,262.6,1 g,1,262.6,Duchefa Biochemie,DUCHEFA,2010-2012,99
,Daishin agar,D1004.1000,168.4,1 kg,1,168.4,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Daishin agar,D1004.5000,801.0,5 kg,1,801.0,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Dithioerythreitol (DTE),D1308.0005,41.1,5 g,1,41.1,Duchefa Biochemie,DUCHEFA,2010-2012,99
,Dithioerythreitol (DTE),D1308.0010,67.0,10 g,1,67.0,Duchefa Biochemie,DUCHEFA,2010-2012,99
,Dithioerythreitol (DTE),D1308.0025,137.6,25 g,1,137.6,Duchefa Biochemie,DUCHEFA,2010-2012,99
,Dextran sulphate sodium,D1342.0010,20.0,10 g,1,20.0,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Dextran sulphate sodium,D1342.0050,87.6,50 g,1,87.6,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Dextran sulphate sodium,D1342.0100,138.3,100 g,1,138.3,Duchefa Biochemie,DUCHEFA,2010-2012,97
,Dimethylsulfoxide (DMSO),D1370.0100,10.7,100 ml,1,10.7,Duchefa Biochemie,DUCHEFA,2010-2012,99
,Dimethylsulfoxide (DMSO),D1370.0250,13.9,250 ml,1,13.9,Duchefa Biochemie,DUCHEFA,2010-2012,99
,Erythromycin,E0122.0010,26.2,10 g,1,26.2,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Erythromycin,E0122.0025,52.3,25 g,1,52.3,Duchefa Biochemie,DUCHEFA,2010-2012,101
,FeNaEDTA,E0509.0100,11.6,100 g,1,11.6,Duchefa Biochemie,DUCHEFA,2010-2012,101
,FeNaEDTA,E0509.0250,22.7,250 g,1,22.7,Duchefa Biochemie,DUCHEFA,2010-2012,101
,FeNaEDTA,E0509.1000,55.2,1 kg,1,55.2,Duchefa Biochemie,DUCHEFA,2010-2012,101
,EDTA disodium dihydrate,E0511.0250,14.2,250 g,1,14.2,Duchefa Biochemie,DUCHEFA,2010-2012,101
,EDTA disodium dihydrate,E0511.0500,20.3,500 g,1,20.3,Duchefa Biochemie,DUCHEFA,2010-2012,101
,EDTA disodium dihydrate,E0511.1000,34.5,1 kg,1,34.5,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Epibrassinolide,E0940.0010,145.3,10 mg,1,145.3,Duchefa Biochemie,DUCHEFA,2010-2012,100
,Epibrassinolide,E0940.0025,301.6,25 mg,1,301.6,Duchefa Biochemie,DUCHEFA,2010-2012,100
,Esculin,E1343.0005,11.7,5 g,1,11.7,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Esculin,E1343.0025,52.3,25 g,1,52.3,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Fluoro uracil (5-FU),F0123.0001,7.1,1 g,1,7.1,Duchefa Biochemie,DUCHEFA,2010-2012,102
,Fluoro uracil (5-FU),F0123.0005,28.5,5 g,1,28.5,Duchefa Biochemie,DUCHEFA,2010-2012,102
,Fluoro orotic acid (5-FOA),F0176.1000,88.4,1 g,1,88.4,Duchefa Biochemie,DUCHEFA,2010-2012,102
,Fluoro orotic acid (5-FOA),F0176.5000,400.7,5 g,1,400.7,Duchefa Biochemie,DUCHEFA,2010-2012,102
,Ferrous sulphate heptahydrate,F0512.0250,9.4,250 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Ferrous sulphate heptahydrate,F0512.1000,21.0,1 kg,1,21.0,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Fe-EDDHA,F0527.0025,16.3,25 g,1,16.3,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Fe-EDDHA,F0527.0100,25.1,100 g,1,25.1,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Fe-EDDHA,F0527.0250,55.9,250 g,1,55.9,Duchefa Biochemie,DUCHEFA,2010-2012,101
,Folic acid,F0608.0025,24.5,25 g,1,24.5,Duchefa Biochemie,DUCHEFA,2010-2012,103
,Folic acid,F0608.0100,80.9,100 g,1,80.9,Duchefa Biochemie,DUCHEFA,2010-2012,103
,Folinate calcium pentahydrate (old C0607),F0619.0001,52.4,1 g,1,52.4,Duchefa Biochemie,DUCHEFA,2010-2012,103
,D-Fructose,F0801.0500,13.4,500 g,1,13.4,Duchefa Biochemie,DUCHEFA,2010-2012,103
,D-Fructose,F0801.1000,23.9,1 kg,1,23.9,Duchefa Biochemie,DUCHEFA,2010-2012,103
,D-Fructose,F0801.5000,88.4,5 kg,1,88.4,Duchefa Biochemie,DUCHEFA,2010-2012,103
,Fluridon,F0919.0250,104.7,250 mg,1,104.7,Duchefa Biochemie,DUCHEFA,2010-2012,102
,Flurprimidol,F0935.0025,16.7,25 mg,1,16.7,Duchefa Biochemie,DUCHEFA,2010-2012,103
,Flurprimidol,F0935.0050,29.3,50 mg,1,29.3,Duchefa Biochemie,DUCHEFA,2010-2012,103
,Flurprimidol,F0935.0100,48.6,100 mg,1,48.6,Duchefa Biochemie,DUCHEFA,2010-2012,103
,Gentamycin sulphate,G0124.0001,10.7,1 g,1,10.7,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gentamycin sulphate,G0124.0005,18.8,5 g,1,18.8,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gentamycin sulphate,G0124.0010,30.4,10 g,1,30.4,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gentamycin sulphate,G0124.0025,61.7,25 g,1,61.7,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Glyphosate,G0158.0001,25.3,1 g,1,25.3,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Glyphosate,G0158.0005,98.5,5 g,1,98.5,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Griseofulvin,G0167.0005,12.3,5 g,1,12.3,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Griseofulvin,G0167.0025,39.7,25 g,1,39.7,Duchefa Biochemie,DUCHEFA,2010-2012,106
,G-418 disulphate,G0175.0001,44.7,1 g,1,44.7,Duchefa Biochemie,DUCHEFA,2010-2012,103
,G-418 disulphate,G0175.0005,212.2,5 g,1,212.2,Duchefa Biochemie,DUCHEFA,2010-2012,103
,L-Glutamic acid,G0707.0500,32.2,500 g,1,32.2,Duchefa Biochemie,DUCHEFA,2010-2012,105
,L-Glutamic acid,G0707.1000,50.5,1 kg,1,50.5,Duchefa Biochemie,DUCHEFA,2010-2012,105
,L-Glutamine,G0708.0050,16.7,50 g,1,16.7,Duchefa Biochemie,DUCHEFA,2010-2012,105
,L-Glutamine,G0708.0100,28.3,100 g,1,28.3,Duchefa Biochemie,DUCHEFA,2010-2012,105
,L-Glutamine,G0708.0250,59.6,250 g,1,59.6,Duchefa Biochemie,DUCHEFA,2010-2012,105
,L-Glutamine,G0708.0500,101.1,500g,1,101.1,Duchefa Biochemie,DUCHEFA,2010-2012,105
,Glycine,G0709.1000,26.8,1 kg,1,26.8,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Glycine,G0709.5000,115.3,5 kg,1,115.3,Duchefa Biochemie,DUCHEFA,2010-2012,106
,D-Glucose monohydrate,G0802.1000,7.2,1 kg,1,7.2,Duchefa Biochemie,DUCHEFA,2010-2012,105
,D-Glucose monohydrate,G0802.5000,24.3,5 kg,1,24.3,Duchefa Biochemie,DUCHEFA,2010-2012,105
,D-Galactose,G0810.0100,15.8,100 g,1,15.8,Duchefa Biochemie,DUCHEFA,2010-2012,104
,D-Galactose,G0810.0500,65.2,500 g,1,65.2,Duchefa Biochemie,DUCHEFA,2010-2012,104
,D-Galactose,G0810.1000,118.7,1 kg,1,118.7,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gibberellic acid A3,G0907.0001,17.2,1 g,1,17.2,Duchefa Biochemie,DUCHEFA,2010-2012,105
,Gibberellic acid A3,G0907.0005,64.7,5 g,1,64.7,Duchefa Biochemie,DUCHEFA,2010-2012,105
,Gibberellic acid 4+7,G0938.0250,9.5,250 mg,1,9.5,Duchefa Biochemie,DUCHEFA,2010-2012,105
,Gibberellic acid 4+7,G0938.1000,29.2,1 g,1,29.2,Duchefa Biochemie,DUCHEFA,2010-2012,105
,Gelcarin GP- 812,G1007.0250,24.0,250 g,1,24.0,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Gelcarin GP- 812,G1007.1000,79.6,1 kg,1,79.6,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Gelcarin GP- 812,G1007.5000,312.1,5 kg,1,312.1,Duchefa Biochemie,DUCHEFA,2010-2012,90
,Gelrite™,G1101.0100,21.0,100 g,1,21.0,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gelrite™,G1101.0250,44.9,250 g,1,44.9,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gelrite™,G1101.0500,88.0,500 g,1,88.0,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gelrite™,G1101.1000,155.7,1 kg,1,155.7,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gelrite™,G1101.5000,721.5,5 kg,1,721.5,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gelrite™,G1101.9025,3168.2,25 kg,1,3168.2,Duchefa Biochemie,DUCHEFA,2010-2012,104
,Gluthatione reduced,G1346.0005,15.2,5 g,1,15.2,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Gluthatione reduced,G1346.0025,65.7,25 g,1,65.7,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Gluthatione reduced,G1346.0100,210.2,100 g,1,210.2,Duchefa Biochemie,DUCHEFA,2010-2012,106
,Guanidine HCl,G1375.0100,20.2,100 g,1,20.2,Duchefa Biochemie,DUCHEFA,2010-2012,107
,Guanidine HCl,G1375.0250,41.5,250 g,1,41.5,Duchefa Biochemie,DUCHEFA,2010-2012,107
,Guanidine HCl,G1375.0500,72.9,500 g,1,72.9,Duchefa Biochemie,DUCHEFA,2010-2012,107
,Guanidine HCl,G1375.1000,138.7,1 kg,1,138.7,Duchefa Biochemie,DUCHEFA,2010-2012,107
,Hydroxyquinoline,H0168.0025,10.6,25 g,1,10.6,Duchefa Biochemie,DUCHEFA,2010-2012,107
,Hydroxyquinoline,H0168.0100,25.7,100 g,1,25.7,Duchefa Biochemie,DUCHEFA,2010-2012,107
,L-Histidine,H0710.0100,32.1,100 g,1,32.1,Duchefa Biochemie,DUCHEFA,2010-2012,107
,L-Histidine,H0710.0500,124.3,500 g,1,124.3,Duchefa Biochemie,DUCHEFA,2010-2012,107
,HEPES,H1504.0025,15.3,25 g,1,15.3,Duchefa Biochemie,DUCHEFA,2010-2012,107
,HEPES,H1504.0100,46.0,100 g,1,46.0,Duchefa Biochemie,DUCHEFA,2010-2012,107
,HEPES,H1504.0250,100.0,250 g,1,100.0,Duchefa Biochemie,DUCHEFA,2010-2012,107
