code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,D-Sorbitol,S0807.5000,46.7,5 kg,1,46.7,Duchefa Biochemie,DUCHEFA,2010-2012,130
,Sucrose,S0809.1000,9.2,1 kg,1,9.2,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Sucrose,S0809.5000,37.5,5 kg,1,37.5,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Sucrose,S0809.9025,108.8,25 kg,1,108.8,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Seaplaque™ agarose,S1202.0100,529.8,100 g,1,529.8,Duchefa Biochemie,DUCHEFA,2010-2012,80
,Seaplaque™ agarose,S1202.0250,1253.1,250 g,1,1253.1,Duchefa Biochemie,DUCHEFA,2010-2012,80
,Sodium alginate,S1320.0250,22.1,250 g,1,22.1,Duchefa Biochemie,DUCHEFA,2010-2012,129
,Sodium alginate,S1320.1000,69.2,1 kg,1,69.2,Duchefa Biochemie,DUCHEFA,2010-2012,129
,Starch from rice,S1324.1000,17.0,1 kg,1,17.0,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Soya peptone,S1330.0100,10.8,100 g,1,10.8,Duchefa Biochemie,DUCHEFA,2010-2012,130
,Soya peptone,S1330.0500,41.4,500 g,1,41.4,Duchefa Biochemie,DUCHEFA,2010-2012,130
,Starch from potatoes,S1357.1000,8.7,1 kg,1,8.7,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Salicylic acid,S1367.0100,5.3,100 g,1,5.3,Duchefa Biochemie,DUCHEFA,2010-2012,128
,Salicylic acid,S1367.0500,12.9,500 g,1,12.9,Duchefa Biochemie,DUCHEFA,2010-2012,128
,Spermidine,S1369.0001,14.7,1 g,1,14.7,Duchefa Biochemie,DUCHEFA,2010-2012,131
,Spermidine,S1369.0005,53.4,5 g,1,53.4,Duchefa Biochemie,DUCHEFA,2010-2012,131
,Spermidine,S1369.0025,217.8,25 g,1,217.8,Duchefa Biochemie,DUCHEFA,2010-2012,131
,Sodium dodecyl sulphate (SDS),S1377.0100,16.0,100 g,1,16.0,Duchefa Biochemie,DUCHEFA,2010-2012,129
,Sodium dodecyl sulphate (SDS),S1377.0250,36.1,250 g,1,36.1,Duchefa Biochemie,DUCHEFA,2010-2012,129
,Sodium dodecyl sulphate (SDS),S1377.0500,64.6,500 g,1,64.6,Duchefa Biochemie,DUCHEFA,2010-2012,129
,Sodium dodecyl sulphate (SDS),S1377.1000,117.0,1 kg,1,117.0,Duchefa Biochemie,DUCHEFA,2010-2012,129
,Salmon Gal,S1403.0100,15.2,100 mg,1,15.2,Duchefa Biochemie,DUCHEFA,2010-2012,94
,Salmon Gal,S1403.1000,86.1,1 g,1,86.1,Duchefa Biochemie,DUCHEFA,2010-2012,94
,Salmon-XGlcA cyclohexylammonium salt,S1407.0100,55.9,100 mg,1,55.9,Duchefa Biochemie,DUCHEFA,2010-2012,94
,SSC-buffer,S1511.0020,4.9,263.56 g,1,4.9,Duchefa Biochemie,DUCHEFA,2010-2012,131
,SSC-buffer,S1511.0200,41.6,2635.6 g,1,41.6,Duchefa Biochemie,DUCHEFA,2010-2012,131
,SSPE-buffer,S1512.0020,4.4,210.4 g,1,4.4,Duchefa Biochemie,DUCHEFA,2010-2012,131
,SSPE-buffer,S1512.0200,30.9,2103.6 g,1,30.9,Duchefa Biochemie,DUCHEFA,2010-2012,131
,Tetracycline HCl,T0150.0025,13.7,25 g,1,13.7,Duchefa Biochemie,DUCHEFA,2010-2012,133
,Tetracycline HCl,T0150.0100,40.9,100 g,1,40.9,Duchefa Biochemie,DUCHEFA,2010-2012,133
,Thimerosal,T0151.0010,49.5,10 g,1,49.5,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Thimerosal,T0151.0025,89.0,25 g,1,89.0,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Tobramycine sulphate,T0153.0001,70.4,1 g,1,70.4,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Tobramycine sulphate,T0153.0005,281.6,5 g,1,281.6,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Trimethoprim,T0154.0005,10.6,5 g,1,10.6,Duchefa Biochemie,DUCHEFA,2010-2012,136
,Trimethoprim,T0154.0025,33.2,25 g,1,33.2,Duchefa Biochemie,DUCHEFA,2010-2012,136
,Ticarcillin disodium,T0180.0001,19.9,1 g,1,19.9,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Ticarcillin disodium,T0180.0010,140.3,10 g,1,140.3,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Trimethoprim lactate,T0181.0250,59.4,250mg,1,59.4,Duchefa Biochemie,DUCHEFA,2010-2012,136
,Trimethoprim lactate,T0181.1000,203.4,1 g,1,203.4,Duchefa Biochemie,DUCHEFA,2010-2012,136
,Ticarcillin disodium / clavulanate potassium,T0190.0002,29.3,2 g,1,29.3,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Ticarcillin disodium / clavulanate potassium,T0190.0010,140.3,10 g,1,140.3,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Ticarcillin disodium / clavulanate potassium,T0190.0025,335.0,25 g,1,335.0,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Thiamine HCl,T0614.0025,7.4,25 g,1,7.4,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Thiamine HCl,T0614.0100,22.8,100 g,1,22.8,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Thiamine HCl,T0614.0250,44.7,250 g,1,44.7,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Thiamine HCl,T0614.1000,117.8,1 kg,1,117.8,Duchefa Biochemie,DUCHEFA,2010-2012,134
,L-Threonine,T0719.0025,17.5,25 g,1,17.5,Duchefa Biochemie,DUCHEFA,2010-2012,134
,L-Threonine,T0719.0100,52.4,100 g,1,52.4,Duchefa Biochemie,DUCHEFA,2010-2012,134
,L-Threonine,T0719.0500,156.9,500 g,1,156.9,Duchefa Biochemie,DUCHEFA,2010-2012,134
,L-Tryptophan,T0720.0025,19.9,25 g,1,19.9,Duchefa Biochemie,DUCHEFA,2010-2012,137
,L-Tryptophan,T0720.0100,55.9,100 g,1,55.9,Duchefa Biochemie,DUCHEFA,2010-2012,137
,L-Tyrosine,T0721.0100,19.0,100 g,1,19.0,Duchefa Biochemie,DUCHEFA,2010-2012,138
,L-Tyrosine,T0721.0500,69.5,500 g,1,69.5,Duchefa Biochemie,DUCHEFA,2010-2012,138
,L-Tyrosine,T0721.1000,124.6,1 kg,1,124.6,Duchefa Biochemie,DUCHEFA,2010-2012,138
,",4,5-Trichlorophenoxyacetic acid",T0915.0025,28.5,25 g,1,28.5,Duchefa Biochemie,DUCHEFA,2010-2012,136
,Thidiazuron,T0916.0250,84.3,250 mg,1,84.3,Duchefa Biochemie,DUCHEFA,2010-2012,134
