marque;produit;reference;type_composant;materiau;masse_g;diviseur
Kimberly-Clark;Paire de gants (taille L) ambidextres Kimtech Purple Nitrile;90628;product;Polypropylène (PP);12.888;1
Kimberly-Clark;Paire de gants (taille L) ambidextres Kimtech Purple Nitrile;90628;secondary_packaging;(aucun);0.0;1
Kimberly-Clark;Paire de gants (taille M) ambidextres Kimtech Purple Nitrile;90627;product;Nitrile;16.85;1
LIMAGRAIN;FARINE DE MAÏS H1 20Kg;C072;product;(aucun);25000.0;1
LYRECO;FICELLE "SISAL" Moyenne 250g;E032;product;(aucun);250.0;1
MERCK;MAGNÉSIUM CHLORURE HEXAHYDRATE PA 250g;C074;product;(aucun);250.0;1
MERCK;METHYL 4-HYDROXYBENZOATE - SEL DE SODIUM 5Kg;C068A;product;(aucun);5000.0;1
PROLABO;ACIDE BORIQUE Christallisé NP 1Kg;C008;product;(aucun);1000.0;1
PROLABO;ACIDE CITRIQUE NP 1Kg;C006;product;(aucun);1000.0;1
PROLABO;ACIDE TRICHLOROACÉTIQUE NP 1Kg;C010;product;(aucun);1000.0;1
PROLABO;AMMONIUM ACÉTATE NP 1Kg;C013;product;(aucun);1000.0;1
PROLABO;AMMONIUM CHLORURE NP 1Kg;C0131;product;(aucun);1000.0;1
PROLABO;AMMONIUM SULFATE NP 1Kg;C014;product;(aucun);1000.0;1
PROLABO;CALCIUM CHLORURE NP 1Kg;C022;product;(aucun);1000.0;1
PROLABO;DI-POTASSIUM HYDROGENOPHOSPHATE Rectapur 1Kg;C051;product;(aucun);1000.0;1
PROLABO;GLUCOSE D(+) Anhydre GPR Rectapur 1Kg;C030;product;(aucun);1000.0;1
PROLABO;METHYL 4-HYDROXYBENZOATE 99% 1Kg;C068;product;(aucun);1000.0;1
PROLABO;PARAFORMALDEHYDE en poudre 1Kg;C073;product;(aucun);1000.0;1
PROLABO;POTASSIUM CHLORURE PA 1Kg;C045;product;(aucun);1000.0;1
PROLABO;POTASSIUM DIHYDROGENOPHOSPHATE NP1Kg;C046;product;(aucun);1000.0;1
PROLABO;POTASSIUM HYDROXYDE en pastilles 1Kg;C048;product;(aucun);1000.0;1
PROLABO;SACCHAROSE NP 1Kg;C054;product;(aucun);1000.0;1
PROLABO;SODIUM ACÉTATE PA 1Kg;C055;product;(aucun);1000.0;1
PROLABO;SODIUM CHLORURE PA 1Kg;C057;product;(aucun);1000.0;1
PROLABO;SODIUM DIHYDROGÉNOPHOSPHATE 1Kg;C062;product;(aucun);1000.0;1
